GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,67,1,8,1,19,1,7,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,2,240,2,13,0,72,2,13,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,12,60,3,3,6,22,4,4,1,3
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,0,62,0,8,0,19,0,13,0,9
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,36,18,4,0,12,5,3,3,1,3
parking-system,com.parkit.parkingsystem.dao,TicketDAO,13,213,1,3,1,51,1,7,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,0,107,0,4,0,29,0,6,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,24,2,7,2,4,2
